address,allotted
127.0.0.2,10.0.2.000
127.0.0.156,10.0.2.001
127.0.0.1,10.0.2.002
192.168.11.66,10.0.2.003
192.168.36.244,10.0.2.004
192.168.113.51,10.0.2.005
192.168.36.133,10.0.2.006
192.168.0.116,10.0.2.007
